confMatrix1_Row,RoadMarkings,confMatrix2_Row,Tree,confMatrix3_Row,Building,confMatrix4_Row,Vehicle,confMatrix5_Row,Person,confMatrix6_Row,LifeguardChair,confMatrix7_Row,PicnicTable,confMatrix8_Row,BlackWoodPanel,confMatrix9_Row,WhiteWoodPanel,confMatrix10_Row,OrangeLandingPad,confMatrix11_Row,Buoy,confMatrix12_Row,Rocks,confMatrix13_Row,LowLevelVegetation,confMatrix14_Row,Grass_Lawn,confMatrix15_Row,Sand_Beach,confMatrix16_Row,Water_Lake,confMatrix17_Row,Water_Pond,confMatrix18_Row,Asphalt
RoadMarkings,0,RoadMarkings,16279,RoadMarkings,6912,RoadMarkings,5072,RoadMarkings,107,RoadMarkings,9247,RoadMarkings,2046,RoadMarkings,2,RoadMarkings,201,RoadMarkings,5541,RoadMarkings,0,RoadMarkings,16707,RoadMarkings,4102,RoadMarkings,1226,RoadMarkings,42,RoadMarkings,255,RoadMarkings,229,RoadMarkings,117695
Tree,0,Tree,6343979,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,3649,Tree,2,Tree,1388532,Tree,20935,Tree,150,Tree,19,Tree,810
Building,0,Building,5608,Building,34,Building,9,Building,0,Building,38,Building,5,Building,0,Building,2,Building,7,Building,0,Building,1623,Building,298,Building,40452,Building,1755,Building,3646,Building,538,Building,210879
Vehicle,0,Vehicle,6810,Vehicle,369,Vehicle,443,Vehicle,81,Vehicle,952,Vehicle,189,Vehicle,32,Vehicle,137,Vehicle,406,Vehicle,0,Vehicle,855,Vehicle,719,Vehicle,5585,Vehicle,0,Vehicle,406,Vehicle,141,Vehicle,14518
Person,0,Person,6,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,324,Person,151,Person,0,Person,0,Person,0
LifeguardChair,0,LifeguardChair,1235,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,559,LifeguardChair,31,LifeguardChair,2,LifeguardChair,394,LifeguardChair,546,LifeguardChair,0,LifeguardChair,0
PicnicTable,0,PicnicTable,57,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,11434,PicnicTable,2673,PicnicTable,1152,PicnicTable,0,PicnicTable,0
BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0
WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0
OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,801,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0
Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,57,Buoy,1266,Buoy,727,Buoy,0,Buoy,0
Rocks,0,Rocks,17387,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,367059,Rocks,12,Rocks,941,Rocks,60106,Rocks,47520,Rocks,16,Rocks,0
LowLevelVegetation,0,LowLevelVegetation,955351,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,6,LowLevelVegetation,2,LowLevelVegetation,526898,LowLevelVegetation,1483,LowLevelVegetation,6,LowLevelVegetation,0,LowLevelVegetation,148
Grass_Lawn,0,Grass_Lawn,338315,Grass_Lawn,0,Grass_Lawn,2,Grass_Lawn,0,Grass_Lawn,3,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,1,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,459,Grass_Lawn,86,Grass_Lawn,14784601,Grass_Lawn,24001,Grass_Lawn,113,Grass_Lawn,5502,Grass_Lawn,3850
Sand_Beach,0,Sand_Beach,9227,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,16812,Sand_Beach,9,Sand_Beach,891067,Sand_Beach,8021244,Sand_Beach,13011,Sand_Beach,21406,Sand_Beach,46136
