confMatrix1_Row,RoadMarkings,confMatrix2_Row,Tree,confMatrix3_Row,Building,confMatrix4_Row,Vehicle,confMatrix5_Row,Person,confMatrix6_Row,LifeguardChair,confMatrix7_Row,PicnicTable,confMatrix8_Row,BlackWoodPanel,confMatrix9_Row,WhiteWoodPanel,confMatrix10_Row,OrangeLandingPad,confMatrix11_Row,Buoy,confMatrix12_Row,Rocks,confMatrix13_Row,LowLevelVegetation,confMatrix14_Row,Grass_Lawn,confMatrix15_Row,Sand_Beach,confMatrix16_Row,Water_Lake,confMatrix17_Row,Water_Pond,confMatrix18_Row,Asphalt
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,566,,0,,0,,0,,185097
,0,,2812529,,539,,18,,29,,11,,20,,2,,18,,11,,6,,39,,4,,4780380,,197,,30,,0,,164243
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,35990,,16,,0,,0,,228888
,0,,97,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,4656,,14,,29,,0,,26846
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,75,,2,,0,,0,,404
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2767
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8705,,0,,0,,0,,6611
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,115,,0,,0,,0,,686
,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,23,,0,,2025
,0,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,22986,,709,,292,,5,,469033
,0,,552017,,73,,6,,4,,0,,3,,0,,0,,0,,3,,6,,0,,893107,,28,,8,,0,,38639
,0,,659001,,285,,0,,0,,0,,2,,0,,3,,0,,10,,0,,2,,13685208,,166,,34,,1,,812221
,0,,60,,1,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,423145,,16328,,36,,0,,8579340
,3,,315,,24,,7,,5,,1,,2,,0,,4,,11,,13,,9,,5,,12099,,306696,,5484826,,31,,1155070
,0,,30,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,836543,,15,,14,,0,,373067
,0,,32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,330967,,136,,26,,0,,3955447
