confMatrix1_Row,RoadMarkings,confMatrix2_Row,Tree,confMatrix3_Row,Building,confMatrix4_Row,Vehicle,confMatrix5_Row,Person,confMatrix6_Row,LifeguardChair,confMatrix7_Row,PicnicTable,confMatrix8_Row,BlackWoodPanel,confMatrix9_Row,WhiteWoodPanel,confMatrix10_Row,OrangeLandingPad,confMatrix11_Row,Buoy,confMatrix12_Row,Rocks,confMatrix13_Row,LowLevelVegetation,confMatrix14_Row,Grass_Lawn,confMatrix15_Row,Sand_Beach,confMatrix16_Row,Water_Lake,confMatrix17_Row,Water_Pond,confMatrix18_Row,Asphalt
RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,566,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,185097
Tree,0,Tree,2812529,Tree,539,Tree,18,Tree,29,Tree,11,Tree,20,Tree,2,Tree,18,Tree,11,Tree,6,Tree,39,Tree,4,Tree,4780380,Tree,197,Tree,30,Tree,0,Tree,164243
Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,35990,Building,16,Building,0,Building,0,Building,228888
Vehicle,0,Vehicle,97,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,1,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,4656,Vehicle,14,Vehicle,29,Vehicle,0,Vehicle,26846
Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,75,Person,2,Person,0,Person,0,Person,404
LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,2767
PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,8705,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,6611
BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0
WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0
OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,115,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,686
