confMatrix1_Row,RoadMarkings,confMatrix2_Row,Tree,confMatrix3_Row,Building,confMatrix4_Row,Vehicle,confMatrix5_Row,Person,confMatrix6_Row,LifeguardChair,confMatrix7_Row,PicnicTable,confMatrix8_Row,BlackWoodPanel,confMatrix9_Row,WhiteWoodPanel,confMatrix10_Row,OrangeLandingPad,confMatrix11_Row,Buoy,confMatrix12_Row,Rocks,confMatrix13_Row,LowLevelVegetation,confMatrix14_Row,Grass_Lawn,confMatrix15_Row,Sand_Beach,confMatrix16_Row,Water_Lake,confMatrix17_Row,Water_Pond,confMatrix18_Row,Asphalt
RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,0,RoadMarkings,25,RoadMarkings,0,RoadMarkings,0,RoadMarkings,185638
Tree,0,Tree,646804,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,0,Tree,125,Tree,920,Tree,7063806,Tree,383,Tree,0,Tree,0,Tree,46038
Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,0,Building,21760,Building,280,Building,0,Building,0,Building,242854
Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,0,Vehicle,17,Vehicle,0,Vehicle,2531,Vehicle,40,Vehicle,0,Vehicle,0,Vehicle,29055
Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,0,Person,481
LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,0,LifeguardChair,2767
PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,8434,PicnicTable,0,PicnicTable,0,PicnicTable,0,PicnicTable,6882
BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0,BlackWoodPanel,0
WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0,WhiteWoodPanel,0
OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,0,OrangeLandingPad,801
Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,0,Buoy,382,Buoy,0,Buoy,0,Buoy,0,Buoy,1668
Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,0,Rocks,97995,Rocks,469,Rocks,0,Rocks,0,Rocks,394577
LowLevelVegetation,0,LowLevelVegetation,781,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,23,LowLevelVegetation,1463673,LowLevelVegetation,49,LowLevelVegetation,0,LowLevelVegetation,0,LowLevelVegetation,19368
Grass_Lawn,0,Grass_Lawn,2308,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,3,Grass_Lawn,1829,Grass_Lawn,14032502,Grass_Lawn,944,Grass_Lawn,0,Grass_Lawn,0,Grass_Lawn,1119347
Sand_Beach,0,Sand_Beach,82,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,0,Sand_Beach,630,Sand_Beach,567204,Sand_Beach,2777,Sand_Beach,0,Sand_Beach,0,Sand_Beach,8448219
Water_Lake,0,Water_Lake,86434,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,0,Water_Lake,25,Water_Lake,6462097,Water_Lake,1475,Water_Lake,376348,Water_Lake,0,Water_Lake,32742
Water_Pond,0,Water_Pond,1,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,104,Water_Pond,1209564,Water_Pond,0,Water_Pond,0,Water_Pond,0,Water_Pond,0
Asphalt,0,Asphalt,156,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,0,Asphalt,438,Asphalt,256690,Asphalt,1709,Asphalt,2,Asphalt,0,Asphalt,4027613
